iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
AFG,buildings,other-onsite-fuel-usage,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,0.984708,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:21.655145
AFG,buildings,other-onsite-fuel-usage,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,14.936067,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:15.079618
AFG,buildings,other-onsite-fuel-usage,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,114477.6919,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:15.079618
AFG,buildings,other-onsite-fuel-usage,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,115119.72051099998,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:15.079618
AFG,buildings,other-onsite-fuel-usage,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,115955.295664,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:15.079618
AFG,buildings,other-onsite-fuel-usage,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,0.844599,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:15.079618
AFG,buildings,other-onsite-fuel-usage,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,12.381204,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:08.504777
AFG,buildings,other-onsite-fuel-usage,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,96513.0482,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:08.504777
AFG,buildings,other-onsite-fuel-usage,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,97040.237527,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:08.504777
AFG,buildings,other-onsite-fuel-usage,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,97732.90376,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:08.504777
AFG,buildings,other-onsite-fuel-usage,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,0.681191,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:08.504777
AFG,buildings,other-onsite-fuel-usage,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,6.892155,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:01.516884
AFG,buildings,other-onsite-fuel-usage,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,55705.29853,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:01.516884
AFG,buildings,other-onsite-fuel-usage,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,55994.99698,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:01.516884
AFG,buildings,other-onsite-fuel-usage,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_20yr,56380.592686,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:01.516884
AFG,buildings,other-onsite-fuel-usage,2019-01-01 00:00:00,2019-12-31 00:00:00,n2o,0.364974,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:01.516884
AFG,buildings,other-onsite-fuel-usage,2020-01-01 00:00:00,2020-12-31 00:00:00,ch4,5.351416,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:54.391513
AFG,buildings,other-onsite-fuel-usage,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,43252.50005,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:54.391513
AFG,buildings,other-onsite-fuel-usage,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,43477.436193,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:54.391513
AFG,buildings,other-onsite-fuel-usage,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_20yr,43776.83210600001,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:54.391513
AFG,buildings,other-onsite-fuel-usage,2020-01-01 00:00:00,2020-12-31 00:00:00,n2o,0.283383,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:54.391513
AFG,buildings,other-onsite-fuel-usage,2021-01-01 00:00:00,2021-12-31 00:00:00,ch4,5.584086999999999,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:47.837494
